Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,101.75,-63,-90,top
C2,100nF,C_0805_2012Metric,114.75,-63,-90,top
C3,100nF,C_0805_2012Metric,139.4,-64.25,0,top
C4,100nF,C_0805_2012Metric,161.5,-64.25,0,top
C5,100nF,C_0805_2012Metric,100,-69.25,0,top
C6,10uF,C_0805_2012Metric,104.75,-72.2,90,top
C7,10uF,C_0805_2012Metric,102.25,-72.2,90,top
D1,~,D_SMA,93.5,-72.5,180,top
J1,USB-C IN,USB_C_Receptacle_HRO_TYPE-C-31-M-12,83.8,-66.43,-90,top
J2,USB-C OUT,USB_C_Receptacle_HRO_TYPE-C-31-M-12,98,-55,180,top
J3,USB-C OUT,USB_C_Receptacle_HRO_TYPE-C-31-M-12,111,-55,180,top
J4,USB_A OUT,USB_A_Molex_67643_Horizontal,132.85,-64.21,180,top
J5,USB_A OUT,USB_A_Molex_67643_Horizontal,154.85,-64.21,180,top
R1,5.1k Ω,R_0805_2012Metric,92.5,-65,0,top
R2,5.1k Ω,R_0805_2012Metric,92.5,-68,0,top
R3,56kΩ,R_0805_2012Metric,99.25,-63,-90,top
R4,56kΩ,R_0805_2012Metric,96.25,-63,-90,top
R5,56kΩ,R_0805_2012Metric,112.25,-63,-90,top
R6,56kΩ,R_0805_2012Metric,109.25,-63,-90,top
U1,SL2.1A,SO16,112,-71.5,180,top
